"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2152","LOGIN_TC10: SQL Injection cơ bản trong username","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","1063","LOGIN_TC05: bỏ trống password","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","4251","LOGIN_TC18: nhớ trạng thái đăng nhập khi refresh","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","2188","LOGIN_TC11: XSS trong ô username","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","2072","LOGIN_TC09: password phân biệt hoa thường","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","3938","LOGIN_TC01: đăng nhập thành công với tài khoản hợp lệ","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","1","LOGIN_TC13: reset password với username hợp lệ","","2026-08-23","skipped","2026-08-23","","","",""
"","1865","LOGIN_TC03: đăng nhập thất bại với username sai","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","4040","LOGIN_TC15: đăng xuất (Logout)","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","0","LOGIN_TC08: khoảng trắng thừa trong username","","2026-08-23","skipped","2026-08-23","","","",""
"","982","LOGIN_TC06: bỏ trống cả username và password","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","2734","LOGIN_TC16: truy cập trang nội bộ khi chưa login","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","2871","LOGIN_TC19: username quá dài (>255 ký tự)","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","1047","LOGIN_TC04: bỏ trống username","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","14068","LOGIN_TC02: đăng nhập thất bại với password sai","Login Module","2026-08-23","failed","2026-08-23","","","",""
"","0","LOGIN_TC07: username phân biệt hoa thường","","2026-08-23","skipped","2026-08-23","","","",""
"","1873","LOGIN_TC20: ký tự đặc biệt Unicode trong username","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","0","LOGIN_TC17: session sau khi logout (nút Back)","","2026-08-23","skipped","2026-08-23","","","",""
"","2843","LOGIN_TC14: reset password — click Cancel","Login Module","2026-08-23","passed","2026-08-23","","","",""
"","2587","LOGIN_TC12: Forgot Password — điều hướng","Login Module","2026-08-23","passed","2026-08-23","","","",""
